Eurovision Song Contest 2014 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Estonia,The Netherlands,1,1,1,4,7,2,1,1,12
Estonia,Montenegro,12,9,9,5,11,8,14,12,"
"
Estonia,Hungary,6,2,2,2,5,3,3,3,8
France,Armenia,5,3,1,1,4,3,1,1,12
France,Latvia,11,7,7,5,5,6,15,14,"
"
France,Estonia,3,6,5,6,6,4,12,7,4
France,Sweden,4,8,10,10,7,8,6,5,6
France,Iceland,2,2,2,2,2,2,8,3,8
France,Albania,12,5,6,7,8,7,13,11,"
"
France,Russia,14,11,15,9,15,14,11,15,"
"
France,Azerbaijan,6,4,4,4,9,5,14,9,2
France,Ukraine,13,10,9,15,10,11,10,13,"
"
France,Belgium,15,16,16,16,16,16,4,10,1
France,Moldova,16,15,11,12,14,15,16,16,"
"
France,San Marino,10,13,12,11,12,12,9,12,"
"
France,Portugal,8,12,14,13,13,13,2,6,5
France,The Netherlands,1,1,3,3,1,1,3,2,10
France,Montenegro,9,9,8,14,3,9,5,4,7
France,Hungary,7,14,13,8,11,10,7,8,3
Hungary,Armenia,2,14,14,2,5,6,5,3,8
Hungary,Latvia,8,6,2,8,15,8,7,9,2
Hungary,Estonia,14,11,9,9,13,13,13,14,"
"
Hungary,Sweden,9,10,11,5,3,7,2,2,10
Hungary,Iceland,11,9,3,11,10,10,3,5,6
Hungary,Albania,5,8,12,7,8,9,12,12,"
"
Hungary,Russia,4,12,6,6,4,5,9,6,5
Hungary,Azerbaijan,3,5,7,4,1,2,14,10,1
Hungary,Ukraine,12,7,4,14,9,11,4,8,3
Hungary,Belgium,10,4,10,15,14,12,10,13,"
"
Hungary,Moldova,13,13,15,13,11,15,15,15,"
"
Hungary,San Marino,7,3,5,10,7,4,8,4,7
Hungary,Portugal,15,15,13,12,6,14,6,11,"
"
Hungary,The Netherlands,1,1,1,1,2,1,1,1,12
Hungary,Montenegro,6,2,8,3,12,3,11,7,4
Iceland,Armenia,5,10,10,15,10,11,7,8,3
Iceland,Latvia,6,12,15,11,11,12,4,5,6
Iceland,Estonia,12,8,7,6,9,7,9,6,5
Iceland,Sweden,1,1,2,1,1,1,2,2,10
Iceland,Albania,8,4,1,13,4,6,13,12,"
"
Iceland,Russia,14,6,11,10,6,10,8,9,2
Iceland,Azerbaijan,2,7,12,4,3,4,14,10,1
Iceland,Ukraine,11,9,9,7,7,8,6,4,7
Iceland,Belgium,13,13,13,9,12,14,11,14,"
"
Iceland,Moldova,9,15,8,14,13,13,15,15,"
"
Iceland,San Marino,10,5,4,5,5,5,12,7,4
Iceland,Portugal,15,14,14,12,14,15,5,13,"
"
Iceland,The Netherlands,3,3,6,3,2,2,1,1,12
Iceland,Montenegro,7,11,5,8,15,9,10,11,"
"
Iceland,Hungary,4,2,3,2,8,3,3,3,8
Latvia,Armenia,2,1,1,3,2,1,10,5,6
Latvia,Estonia,7,8,7,5,8,6,2,2,10
Latvia,Sweden,4,4,3,1,5,3,5,3,8
Latvia,Iceland,9,5,5,7,4,5,8,6,5
Latvia,Albania,6,9,8,6,9,7,14,11,"
"
Latvia,Russia,12,12,12,11,14,11,4,7,4
Latvia,Azerbaijan,8,2,4,2,6,4,12,9,2
Latvia,Ukraine,3,7,13,9,7,8,3,4,7
Latvia,Belgium,15,13,10,13,13,13,9,12,"
"
Latvia,Moldova,13,14,11,14,11,12,15,15,"
"
Latvia,San Marino,14,10,15,10,15,14,7,10,1
Latvia,Portugal,11,15,14,15,12,15,11,14,"
"
Latvia,The Netherlands,1,3,2,4,1,2,1,1,12
Latvia,Montenegro,10,6,6,8,10,9,13,13,"
"
Latvia,Hungary,5,11,9,12,3,10,6,8,3
Moldova,Armenia,10,12,7,12,13,12,"
",12,"
"
Moldova,Latvia,11,15,15,14,14,15,"
",15,"
"
Moldova,Estonia,9,11,14,15,15,13,"
",13,"
"
Moldova,Sweden,4,3,3,2,6,2,"
",2,10
Moldova,Iceland,15,14,13,13,11,14,"
",14,"
"
Moldova,Albania,12,6,12,9,12,11,"
",11,"
"
Moldova,Russia,1,2,1,1,1,1,"
",1,12
Moldova,Azerbaijan,5,9,4,3,3,5,"
",5,6
Moldova,Ukraine,2,4,6,4,4,3,"
",3,8
Moldova,Belgium,3,5,2,6,7,4,"
",4,7
Moldova,San Marino,13,10,11,8,8,10,"
",10,1
Moldova,Portugal,6,13,9,5,9,8,"
",8,3
Moldova,The Netherlands,14,7,8,10,10,9,"
",9,2
Moldova,Montenegro,7,8,5,7,5,6,"
",6,5
Moldova,Hungary,8,1,10,11,2,7,"
",7,4
Montenegro,Armenia,2,2,3,2,1,2,"
",2,10
Montenegro,Latvia,11,10,9,9,15,11,"
",11,"
"
Montenegro,Estonia,12,13,10,8,12,13,"
",13,"
"
Montenegro,Sweden,5,5,6,13,5,6,"
",6,5
Montenegro,Iceland,9,14,11,15,11,14,"
",14,"
"
Montenegro,Albania,1,1,1,1,2,1,"
",1,12
Montenegro,Russia,10,8,8,6,7,7,"
",7,4
Montenegro,Azerbaijan,3,4,4,3,4,4,"
",4,7
Montenegro,Ukraine,4,3,2,4,3,3,"
",3,8
Montenegro,Belgium,13,9,13,11,8,9,"
",9,2
Montenegro,Moldova,6,6,5,5,6,5,"
",5,6
Montenegro,San Marino,8,15,14,14,13,15,"
",15,"
"
Montenegro,Portugal,7,7,15,10,14,8,"
",8,3
Montenegro,The Netherlands,15,11,12,7,9,10,"
",10,1
Montenegro,Hungary,14,12,7,12,10,12,"
",12,"
"
Portugal,Armenia,13,7,7,1,4,7,10,7,4
Portugal,Latvia,2,6,5,7,8,5,13,8,3
Portugal,Estonia,10,8,12,15,7,11,11,14,"
"
Portugal,Sweden,1,4,3,6,3,3,4,3,8
Portugal,Iceland,8,5,10,8,12,8,12,10,1
Portugal,Albania,14,13,13,11,9,12,15,15,"
"
Portugal,Russia,5,9,11,12,11,9,5,6,5
Portugal,Azerbaijan,6,1,4,4,5,4,14,9,2
Portugal,Ukraine,9,12,9,9,13,10,2,4,7
Portugal,Belgium,15,11,8,13,14,13,9,13,"
"
Portugal,Moldova,12,15,14,10,10,14,8,12,"
"
Portugal,San Marino,11,14,15,14,15,15,6,11,"
"
Portugal,The Netherlands,3,2,2,2,6,2,1,1,12
Portugal,Montenegro,7,10,6,5,2,6,7,5,6
Portugal,Hungary,4,3,1,3,1,1,3,2,10
Russia,Armenia,4,1,4,2,3,3,1,1,12
Russia,Latvia,14,8,15,10,8,11,11,12,"
"
Russia,Estonia,2,7,10,7,5,5,14,11,"
"
Russia,Sweden,11,11,11,6,9,9,6,5,6
Russia,Iceland,15,13,13,12,11,15,10,13,"
"
Russia,Albania,13,14,8,11,15,13,15,15,"
"
Russia,Azerbaijan,3,2,3,1,2,2,3,2,10
Russia,Ukraine,7,5,5,5,6,4,2,4,7
Russia,Belgium,8,10,2,8,4,7,9,7,4
Russia,Moldova,5,4,9,4,10,6,12,10,1
Russia,San Marino,9,15,12,9,12,12,5,8,3
Russia,Portugal,12,9,14,13,13,14,13,14,"
"
Russia,The Netherlands,10,6,7,15,14,10,7,9,2
Russia,Montenegro,6,12,6,14,7,8,8,6,5
Russia,Hungary,1,3,1,3,1,1,4,3,8
San Marino,Armenia,7,1,3,2,3,2,"
",2,10
San Marino,Latvia,12,5,9,8,13,9,"
",9,2
San Marino,Estonia,8,15,10,13,12,13,"
",13,"
"
San Marino,Sweden,6,9,4,7,7,8,"
",8,3
San Marino,Iceland,13,3,6,5,1,4,"
",4,7
San Marino,Albania,4,8,5,3,9,6,"
",6,5
San Marino,Russia,10,14,11,12,11,12,"
",12,"
"
San Marino,Azerbaijan,1,6,7,1,14,5,"
",5,6
San Marino,Ukraine,3,7,12,9,2,7,"
",7,4
San Marino,Belgium,9,12,8,11,15,10,"
",10,1
San Marino,Moldova,11,13,15,15,6,14,"
",14,"
"
San Marino,Portugal,14,11,14,14,8,15,"
",15,"
"
San Marino,The Netherlands,2,4,1,4,5,1,"
",1,12
San Marino,Montenegro,15,10,13,10,10,11,"
",11,"
"
San Marino,Hungary,5,2,2,6,4,3,"
",3,8
Spain,Armenia,4,6,7,5,9,8,2,5,6
Spain,Latvia,11,13,16,16,14,15,11,13,"
"
Spain,Estonia,12,3,3,6,3,4,13,9,2
Spain,Sweden,1,4,1,7,2,2,4,1,12
Spain,Iceland,8,5,6,10,5,9,8,8,3
Spain,Albania,9,10,9,8,10,10,14,12,"
"
Spain,Russia,10,14,12,11,11,11,9,11,"
"
Spain,Azerbaijan,15,15,11,15,12,13,16,15,"
"
Spain,Ukraine,3,7,10,4,4,5,7,6,5
Spain,Belgium,14,11,15,14,15,14,12,14,"
"
Spain,Moldova,16,16,14,12,13,16,15,16,"
"
Spain,San Marino,13,12,13,13,16,12,6,10,1
Spain,Portugal,6,2,4,9,8,7,1,3,8
Spain,The Netherlands,5,8,8,1,6,6,3,4,7
Spain,Montenegro,7,9,2,2,7,3,10,7,4
Spain,Hungary,2,1,5,3,1,1,5,2,10
Sweden,Armenia,11,4,5,6,2,4,2,3,8
Sweden,Latvia,12,15,10,13,15,15,7,10,1
Sweden,Estonia,4,6,6,4,3,3,11,6,5
Sweden,Iceland,6,7,4,3,12,6,4,4,7
Sweden,Albania,13,11,15,11,4,13,10,13,"
"
Sweden,Russia,8,2,11,12,13,8,12,9,2
Sweden,Azerbaijan,15,10,7,10,5,9,13,11,"
"
Sweden,Ukraine,5,5,3,7,11,5,5,5,6
Sweden,Belgium,3,9,14,14,8,10,14,14,"
"
Sweden,Moldova,7,13,13,9,6,11,15,15,"
"
Sweden,San Marino,14,14,12,5,14,14,9,12,"
"
Sweden,Portugal,10,12,8,8,7,7,8,7,4
Sweden,The Netherlands,2,3,1,2,9,2,1,1,12
Sweden,Montenegro,9,8,9,15,10,12,6,8,3
Sweden,Hungary,1,1,2,1,1,1,3,2,10
The Netherlands,Armenia,2,5,6,7,2,4,1,1,12
The Netherlands,Latvia,15,14,15,15,13,15,8,13,"
"
The Netherlands,Estonia,6,10,5,5,11,8,14,12,"
"
The Netherlands,Sweden,1,2,2,1,4,2,3,3,8
The Netherlands,Iceland,5,1,1,2,1,1,4,4,7
The Netherlands,Albania,8,7,3,8,8,7,12,10,1
The Netherlands,Russia,9,8,9,11,9,10,11,11,"
"
The Netherlands,Azerbaijan,10,4,8,6,5,6,10,7,4
The Netherlands,Ukraine,7,11,12,9,7,9,7,6,5
The Netherlands,Belgium,13,13,13,12,10,12,5,8,3
The Netherlands,Moldova,14,12,14,13,15,14,15,15,"
"
The Netherlands,San Marino,11,9,11,14,12,11,13,14,"
"
The Netherlands,Portugal,12,15,10,10,14,13,6,9,2
The Netherlands,Montenegro,3,6,7,3,6,5,9,5,6
The Netherlands,Hungary,4,3,4,4,3,3,2,2,10
Ukraine,Armenia,2,1,1,2,1,1,1,1,12
Ukraine,Latvia,15,10,4,15,15,13,9,13,"
"
Ukraine,Estonia,13,6,13,13,10,12,13,14,"
"
Ukraine,Sweden,1,2,2,1,2,2,4,2,10
Ukraine,Iceland,4,9,6,4,8,4,14,8,3
Ukraine,Albania,8,7,11,7,3,5,15,11,"
"
Ukraine,Russia,5,12,14,6,6,9,2,5,6
Ukraine,Azerbaijan,9,5,12,9,7,7,5,6,5
Ukraine,Belgium,12,11,15,12,11,14,8,12,"
"
Ukraine,Moldova,7,14,9,8,5,10,10,9,2
Ukraine,San Marino,11,13,7,11,12,11,7,7,4
Ukraine,Portugal,14,15,8,14,13,15,11,15,"
"
Ukraine,The Netherlands,3,4,3,3,4,3,6,4,7
Ukraine,Montenegro,10,3,10,10,9,8,12,10,1
Ukraine,Hungary,6,8,5,5,14,6,3,3,8
