,,Final,,,Semi,,,Info,,,Overall #,,,GF #,,,SF #,,
17,1957,3,22.22%,1957,,,,🇬🇧 United Kingdom,Patricia Bredin,All,7,10,33.33%,7,10,33.33%,,,
18,1957,4,33.33%,1957,,,,🇮🇹 Italy,Nunzio Gallo,Corde della mia chitarra,6,10,44.44%,6,10,44.44%,,,
19,1957,5,44.44%,1957,,,,🇦🇹 Austria,Bob Martin,"Wohin, kleines Pony?",10,10,0.00%,10,10,0.00%,,,
20,1957,6,55.56%,1957,,,,🇳🇱 Netherlands,Corry Brokken,Net als toen,1,10,100.00%,1,10,100.00%,,,
21,1957,7,66.67%,1957,,,,🇩🇪 Germany,Margot Hielscher,"Telefon, Telefon",4.5,10,61.11%,4.5,10,61.11%,,,
22,1957,8,77.78%,1957,,,,🇫🇷 France,Paule Desjardins,La belle amour,2,10,88.89%,2,10,88.89%,,,
23,1957,9,88.89%,1957,,,,🇩🇰 Denmark,Birthe Wilke & Gustav Winckler,Skibet skal sejle i nat,3,10,77.78%,3,10,77.78%,,,
24,1957,10,100.00%,1957,,,,🇨🇭 Switzerland,Lys Assia,L'enfant que j'étais,8.5,10,16.67%,8.5,10,16.67%,,,
25,1958,1,0.00%,1958,,,,🇮🇹 Italy,Domenico Modugno,"Nel blu, dipinto di blu",3,10,77.78%,3,10,77.78%,,,
26,1958,2,11.11%,1958,,,,🇳🇱 Netherlands,Corry Brokken,Heel de wereld,9.5,10,5.56%,9.5,10,5.56%,,,
27,1958,3,22.22%,1958,,,,🇫🇷 France,André Claveau,"Dors, mon amour",1,10,100.00%,1,10,100.00%,,,
28,1958,4,33.33%,1958,,,,🇱🇺 Luxembourg,Solange Berry,Un grand amour,9.5,10,5.56%,9.5,10,5.56%,,,
29,1958,5,44.44%,1958,,,,🇸🇪 Sweden,Alice Babs,Lilla stjärna,4,10,66.67%,4,10,66.67%,,,
30,1958,6,55.56%,1958,,,,🇩🇰 Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,8,10,22.22%,8,10,22.22%,,,
31,1958,7,66.67%,1958,,,,🇧🇪 Belgium,Fud Leclerc,Ma petite chatte,5.5,10,50.00%,5.5,10,50.00%,,,
32,1958,8,77.78%,1958,,,,🇩🇪 Germany,Margot Hielscher,Für zwei Groschen Musik,7,10,33.33%,7,10,33.33%,,,
33,1958,9,88.89%,1958,,,,🇦🇹 Austria,Liane Augustin,Die ganze Welt braucht Liebe,5.5,10,50.00%,5.5,10,50.00%,,,
34,1958,10,100.00%,1958,,,,🇨🇭 Switzerland,Lys Assia,Giorgio,2,10,88.89%,2,10,88.89%,,,
35,1959,1,0.00%,1959,,,,🇫🇷 France,Jean Philippe,"Oui, oui, oui, oui",3,11,80.00%,3,11,80.00%,,,
36,1959,2,10.00%,1959,,,,🇩🇰 Denmark,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",5,11,60.00%,5,11,60.00%,,,
37,1959,3,20.00%,1959,,,,🇮🇹 Italy,Domenico Modugno,"Piove (Ciao, ciao bambina)",6.5,11,45.00%,6.5,11,45.00%,,,
38,1959,4,30.00%,1959,,,,🇲🇨 Monaco,Jacques Pills,Mon ami Pierrot,11,11,0.00%,11,11,0.00%,,,
39,1959,5,40.00%,1959,,,,🇳🇱 Netherlands,Teddy Scholten,Een beetje,1,11,100.00%,1,11,100.00%,,,
40,1959,6,50.00%,1959,,,,🇩🇪 Germany,Alice & Ellen Kessler,Heute Abend wollen wir tanzen geh'n,8,11,30.00%,8,11,30.00%,,,
41,1959,7,60.00%,1959,,,,🇸🇪 Sweden,Brita Borg,Augustin,9.5,11,15.00%,9.5,11,15.00%,,,
42,1959,8,70.00%,1959,,,,🇨🇭 Switzerland,Christa Williams,Irgendwoher,4,11,70.00%,4,11,70.00%,,,
43,1959,9,80.00%,1959,,,,🇦🇹 Austria,Ferry Graf,Der K und K Kalypso aus Wien,9.5,11,15.00%,9.5,11,15.00%,,,
44,1959,10,90.00%,1959,,,,🇬🇧 United Kingdom,Pearl Carr & Teddy Johnson,"Sing, Little Birdie",2,11,90.00%,2,11,90.00%,,,
45,1959,11,100.00%,1959,,,,🇧🇪 Belgium,Bob Benny,Hou toch van mij,6.5,11,45.00%,6.5,11,45.00%,,,
46,1960,1,0.00%,1960,,,,🇬🇧 United Kingdom,Bryan Johnson,"Looking High, High, High",2,13,91.67%,2,13,91.67%,,,
47,1960,2,8.33%,1960,,,,🇸🇪 Sweden,Siw Malmkvist,Alla andra får varann,10.5,13,20.83%,10.5,13,20.83%,,,
48,1960,3,16.67%,1960,,,,🇱🇺 Luxembourg,Camillo Felgen,So laang we's du do bast,13,13,0.00%,13,13,0.00%,,,
49,1960,4,25.00%,1960,,,,🇩🇰 Denmark,Katy Bødtger,Det var en yndig tid,10.5,13,20.83%,10.5,13,20.83%,,,
50,1960,5,33.33%,1960,,,,🇧🇪 Belgium,Fud Leclerc,Mon amour pour toi,6,13,58.33%,6,13,58.33%,,,
51,1960,6,41.67%,1960,,,,🇳🇴 Norway,Nora Brockstedt,Voi voi,4.5,13,70.83%,4.5,13,70.83%,,,
52,1960,7,50.00%,1960,,,,🇦🇹 Austria,Harry Winter,Du hast mich so fasziniert,7,13,50.00%,7,13,50.00%,,,
53,1960,8,58.33%,1960,,,,🇲🇨 Monaco,François Deguelt,Ce soir-là,3,13,83.33%,3,13,83.33%,,,
54,1960,9,66.67%,1960,,,,🇨🇭 Switzerland,Anita Traversi,Cielo e terra,8.5,13,37.50%,8.5,13,37.50%,,,
55,1960,10,75.00%,1960,,,,🇳🇱 Netherlands,Rudi Carrell,Wat een geluk,12,13,8.33%,12,13,8.33%,,,
56,1960,11,83.33%,1960,,,,🇩🇪 Germany,Wyn Hoop,Bonne nuit ma chérie,4.5,13,70.83%,4.5,13,70.83%,,,
57,1960,12,91.67%,1960,,,,🇮🇹 Italy,Renato Rascel,Romantica,8.5,13,37.50%,8.5,13,37.50%,,,
58,1960,13,100.00%,1960,,,,🇫🇷 France,Jacqueline Boyer,Tom Pillibi,1,13,100.00%,1,13,100.00%,,,
59,1961,1,0.00%,1961,,,,🇪🇸 Spain,Conchita Bautista,Estando contigo,9,16,46.67%,9,16,46.67%,,,
60,1961,2,6.67%,1961,,,,🇲🇨 Monaco,Colette Deréal,"Allons, allons les enfants",11,16,33.33%,11,16,33.33%,,,
61,1961,3,13.33%,1961,,,,🇦🇹 Austria,Jimmy Makulis,Sehnsucht,15.5,16,3.33%,15.5,16,3.33%,,,
62,1961,4,20.00%,1961,,,,🇫🇮 Finland,Laila Kinnunen,Valoa ikkunassa,11,16,33.33%,11,16,33.33%,,,
63,1961,5,26.67%,1961,,,,🏳 Yugoslavia,Ljiljana Petrović,Neke davne zvezde,8,16,53.33%,8,16,53.33%,,,
64,1961,6,33.33%,1961,,,,🇳🇱 Netherlands,Greetje Kauffeld,Wat een dag,11,16,33.33%,11,16,33.33%,,,
65,1961,7,40.00%,1961,,,,🇸🇪 Sweden,Lill-Babs,"April, april",14,16,13.33%,14,16,13.33%,,,
66,1961,8,46.67%,1961,,,,🇩🇪 Germany,Lale Andersen,Einmal sehen wir uns wieder,13,16,20.00%,13,16,20.00%,,,
67,1961,9,53.33%,1961,,,,🇫🇷 France,Jean-Paul Mauric,"Printemps, avril carillonne",4,16,80.00%,4,16,80.00%,,,
68,1961,10,60.00%,1961,,,,🇨🇭 Switzerland,Franca di Rienzo,Nous aurons demain,3,16,86.67%,3,16,86.67%,,,
69,1961,11,66.67%,1961,,,,🇧🇪 Belgium,Bob Benny,"September, gouden roos",15.5,16,3.33%,15.5,16,3.33%,,,
70,1961,12,73.33%,1961,,,,🇳🇴 Norway,Nora Brockstedt,Sommer i Palma,7,16,60.00%,7,16,60.00%,,,
71,1961,13,80.00%,1961,,,,🇩🇰 Denmark,Dario Campeotto,Angelique,5.5,16,70.00%,5.5,16,70.00%,,,
72,1961,14,86.67%,1961,,,,🇱🇺 Luxembourg,Jean-Claude Pascal,Nous les amoureux,1,16,100.00%,1,16,100.00%,,,
73,1961,15,93.33%,1961,,,,🇬🇧 United Kingdom,The Allisons,Are You Sure?,2,16,93.33%,2,16,93.33%,,,
74,1961,16,100.00%,1961,,,,🇮🇹 Italy,Betty Curtis,Al di là,5.5,16,70.00%,5.5,16,70.00%,,,
75,1962,1,0.00%,1962,,,,🇫🇮 Finland,Marion Rung,Tipi-tii,7.5,16,56.67%,7.5,16,56.67%,,,
76,1962,2,6.67%,1962,,,,🇧🇪 Belgium,Fud Leclerc,Ton nom,14.5,16,10.00%,14.5,16,10.00%,,,
77,1962,3,13.33%,1962,,,,🇪🇸 Spain,Víctor Balaguer,Llámame,14.5,16,10.00%,14.5,16,10.00%,,,
78,1962,4,20.00%,1962,,,,🇦🇹 Austria,Eleonore Schwarz,Nur in der Wiener Luft,14.5,16,10.00%,14.5,16,10.00%,,,
79,1962,5,26.67%,1962,,,,🇩🇰 Denmark,Ellen Winther,Vuggevise,11,16,33.33%,11,16,33.33%,,,
80,1962,6,33.33%,1962,,,,🇸🇪 Sweden,Inger Berggren,Sol och vår,7.5,16,56.67%,7.5,16,56.67%,,,
81,1962,7,40.00%,1962,,,,🇩🇪 Germany,Conny Froboess,Zwei kleine Italiener,6,16,66.67%,6,16,66.67%,,,
82,1962,8,46.67%,1962,,,,🇳🇱 Netherlands,De Spelbrekers,Katinka,14.5,16,10.00%,14.5,16,10.00%,,,
83,1962,9,53.33%,1962,,,,🇫🇷 France,Isabelle Aubret,Un premier amour,1,16,100.00%,1,16,100.00%,,,
84,1962,10,60.00%,1962,,,,🇳🇴 Norway,Inger Jacobsen,"Kom sol, kom regn",11,16,33.33%,11,16,33.33%,,,
85,1962,11,66.67%,1962,,,,🇨🇭 Switzerland,Jean Philippe,Le retour,11,16,33.33%,11,16,33.33%,,,
86,1962,12,73.33%,1962,,,,🏳 Yugoslavia,Lola Novaković,Ne pali svetla u sumrak,4.5,16,76.67%,4.5,16,76.67%,,,
87,1962,13,80.00%,1962,,,,🇬🇧 United Kingdom,Ronnie Carroll,Ring-a-Ding Girl,4.5,16,76.67%,4.5,16,76.67%,,,
88,1962,14,86.67%,1962,,,,🇱🇺 Luxembourg,Camillo Felgen,Petit bonhomme,3,16,86.67%,3,16,86.67%,,,
89,1962,15,93.33%,1962,,,,🇮🇹 Italy,Claudio Villa,"Addio, addio",9,16,46.67%,9,16,46.67%,,,
90,1962,16,100.00%,1962,,,,🇲🇨 Monaco,François Deguelt,Dis rien,2,16,93.33%,2,16,93.33%,,,
91,1963,1,0.00%,1963,,,,🇬🇧 United Kingdom,Ronnie Carroll,Say Wonderful Things,4,16,80.00%,4,16,80.00%,,,
92,1963,2,6.67%,1963,,,,🇳🇱 Netherlands,Annie Palmen,Een speeldoos,14.5,16,10.00%,14.5,16,10.00%,,,
93,1963,3,13.33%,1963,,,,🇩🇪 Germany,Heidi Brühl,Marcel,9,16,46.67%,9,16,46.67%,,,
94,1963,4,20.00%,1963,,,,🇦🇹 Austria,Carmela Corren,Vielleicht geschieht ein Wunder,7,16,60.00%,7,16,60.00%,,,
95,1963,5,26.67%,1963,,,,🇳🇴 Norway,Anita Thallaug,Solhverv,14.5,16,10.00%,14.5,16,10.00%,,,
96,1963,6,33.33%,1963,,,,🇮🇹 Italy,Emilio Pericoli,Uno per tutte,3,16,86.67%,3,16,86.67%,,,
97,1963,7,40.00%,1963,,,,🇫🇮 Finland,Laila Halme,Muistojeni laulu,14.5,16,10.00%,14.5,16,10.00%,,,
98,1963,8,46.67%,1963,,,,🇩🇰 Denmark,Grethe & Jørgen Ingmann,Dansevise,1,16,100.00%,1,16,100.00%,,,
99,1963,9,53.33%,1963,,,,🏳 Yugoslavia,Vice Vukov,Brodovi,11,16,33.33%,11,16,33.33%,,,
100,1963,10,60.00%,1963,,,,🇨🇭 Switzerland,Esther Ofarim,T'en va pas,2,16,93.33%,2,16,93.33%,,,
101,1963,11,66.67%,1963,,,,🇫🇷 France,Alain Barrière,Elle était si jolie,5.5,16,70.00%,5.5,16,70.00%,,,
102,1963,12,73.33%,1963,,,,🇪🇸 Spain,José Guardiola,Algo prodigioso,12,16,26.67%,12,16,26.67%,,,
103,1963,13,80.00%,1963,,,,🇸🇪 Sweden,Monica Zetterlund,En gång i Stockholm,14.5,16,10.00%,14.5,16,10.00%,,,
104,1963,14,86.67%,1963,,,,🇧🇪 Belgium,Jacques Raymond,Waarom?,10,16,40.00%,10,16,40.00%,,,
105,1963,15,93.33%,1963,,,,🇲🇨 Monaco,Françoise Hardy,L'amour s'en va,5.5,16,70.00%,5.5,16,70.00%,,,
106,1963,16,100.00%,1963,,,,🇱🇺 Luxembourg,Nana Mouskouri,À force de prier,8,16,53.33%,8,16,53.33%,,,
107,1964,1,0.00%,1964,,,,🇱🇺 Luxembourg,Hugues Aufray,Dès que le printemps revient,4.5,16,76.67%,4.5,16,76.67%,,,
108,1964,2,6.67%,1964,,,,🇳🇱 Netherlands,Anneke Grönloh,Jij bent mijn leven,10.5,16,36.67%,10.5,16,36.67%,,,
109,1964,3,13.33%,1964,,,,🇳🇴 Norway,Arne Bendiksen,Spiral,8,16,53.33%,8,16,53.33%,,,
110,1964,4,20.00%,1964,,,,🇩🇰 Denmark,Bjørn Tidmand,Sangen om dig,9,16,46.67%,9,16,46.67%,,,
111,1964,5,26.67%,1964,,,,🇫🇮 Finland,Lasse Mårtenson,Laiskotellen,7,16,60.00%,7,16,60.00%,,,
112,1964,6,33.33%,1964,,,,🇦🇹 Austria,Udo Jürgens,"Warum nur, warum?",6,16,66.67%,6,16,66.67%,,,
113,1964,7,40.00%,1964,,,,🇫🇷 France,Rachel,Le chant de Mallory,4.5,16,76.67%,4.5,16,76.67%,,,
114,1964,8,46.67%,1964,,,,🇬🇧 United Kingdom,Matt Monro,I Love the Little Things,2,16,93.33%,2,16,93.33%,,,
115,1964,9,53.33%,1964,,,,🇩🇪 Germany,Nora Nova,Man gewöhnt sich so schnell an das Schöne,14.5,16,10.00%,14.5,16,10.00%,,,
116,1964,10,60.00%,1964,,,,🇲🇨 Monaco,Romuald,Où sont-elles passées,3,16,86.67%,3,16,86.67%,,,
117,1964,11,66.67%,1964,,,,🇵🇹 Portugal,António Calvário,Oração,14.5,16,10.00%,14.5,16,10.00%,,,
118,1964,12,73.33%,1964,,,,🇮🇹 Italy,Gigliola Cinquetti,Non ho l'età,1,16,100.00%,1,16,100.00%,,,
119,1964,13,80.00%,1964,,,,🏳 Yugoslavia,Sabahudin Kurt,Život je sklopio krug,14.5,16,10.00%,14.5,16,10.00%,,,
120,1964,14,86.67%,1964,,,,🇨🇭 Switzerland,Anita Traversi,I miei pensieri,14.5,16,10.00%,14.5,16,10.00%,,,
121,1964,15,93.33%,1964,,,,🇧🇪 Belgium,Robert Cogoi,Près de ma rivière,10.5,16,36.67%,10.5,16,36.67%,,,
122,1964,16,100.00%,1964,,,,🇪🇸 Spain,"Tim, Nelly & Tony",Caracola,12,16,26.67%,12,16,26.67%,,,
123,1965,1,0.00%,1965,,,,🇳🇱 Netherlands,Conny Vandenbos,t is genoeg,11,18,41.18%,11,18,41.18%,,,
124,1965,2,5.88%,1965,,,,🇬🇧 United Kingdom,Kathy Kirby,I Belong,2,18,94.12%,2,18,94.12%,,,
125,1965,3,11.76%,1965,,,,🇪🇸 Spain,Conchita Bautista,"¡Qué bueno, qué bueno!",16.5,18,8.82%,16.5,18,8.82%,,,
126,1965,4,17.65%,1965,,,,🇮🇪 Ireland,Butch Moore,Walking the Streets in the Rain,6,18,70.59%,6,18,70.59%,,,
127,1965,5,23.53%,1965,,,,🇩🇪 Germany,Ulla Wiesner,"Paradies, wo bist du?",16.5,18,8.82%,16.5,18,8.82%,,,
128,1965,6,29.41%,1965,,,,🇦🇹 Austria,Udo Jürgens,"Sag ihr, ich lass sie grüßen",4,18,82.35%,4,18,82.35%,,,
129,1965,7,35.29%,1965,,,,🇳🇴 Norway,Kirsti Sparboe,Karusell,13.5,18,26.47%,13.5,18,26.47%,,,
130,1965,8,41.18%,1965,,,,🇧🇪 Belgium,Lize Marke,Als het weer lente is,16.5,18,8.82%,16.5,18,8.82%,,,
131,1965,9,47.06%,1965,,,,🇲🇨 Monaco,Marjorie Noël,Va dire à l'amour,9,18,52.94%,9,18,52.94%,,,
132,1965,10,52.94%,1965,,,,🇸🇪 Sweden,Ingvar Wixell,Absent Friend,10,18,47.06%,10,18,47.06%,,,
133,1965,11,58.82%,1965,,,,🇫🇷 France,Guy Mardel,N'avoue jamais,3,18,88.24%,3,18,88.24%,,,
134,1965,12,64.71%,1965,,,,🇵🇹 Portugal,Simone de Oliveira,Sol de inverno,13.5,18,26.47%,13.5,18,26.47%,,,
135,1965,13,70.59%,1965,,,,🇮🇹 Italy,Bobby Solo,"Se piangi, se ridi",5,18,76.47%,5,18,76.47%,,,
136,1965,14,76.47%,1965,,,,🇩🇰 Denmark,Birgit Brüel,For din skyld,7,18,64.71%,7,18,64.71%,,,
137,1965,15,82.35%,1965,,,,🇱🇺 Luxembourg,France Gall,"Poupée de cire, poupée de son",1,18,100.00%,1,18,100.00%,,,
138,1965,16,88.24%,1965,,,,🇫🇮 Finland,Viktor Klimenko,Aurinko laskee länteen,16.5,18,8.82%,16.5,18,8.82%,,,
139,1965,17,94.12%,1965,,,,🏳 Yugoslavia,Vice Vukov,Čežnja,12,18,35.29%,12,18,35.29%,,,
140,1965,18,100.00%,1965,,,,🇨🇭 Switzerland,Yovanna,Non – à jamais sans toi,8,18,58.82%,8,18,58.82%,,,
141,1966,1,0.00%,1966,,,,🇩🇪 Germany,Margot Eskens,Die Zeiger der Uhr,11,18,41.18%,11,18,41.18%,,,
142,1966,2,5.88%,1966,,,,🇩🇰 Denmark,Ulla Pia,Stop – mens legen er go',14,18,23.53%,14,18,23.53%,,,
143,1966,3,11.76%,1966,,,,🇧🇪 Belgium,Tonia,"Un peu de poivre, un peu de sel",4.5,18,79.41%,4.5,18,79.41%,,,
144,1966,4,17.65%,1966,,,,🇱🇺 Luxembourg,Michèle Torr,Ce soir je t'attendais,11,18,41.18%,11,18,41.18%,,,
145,1966,5,23.53%,1966,,,,🏳 Yugoslavia,Berta Ambrož,Brez besed,7.5,18,61.76%,7.5,18,61.76%,,,
146,1966,6,29.41%,1966,,,,🇳🇴 Norway,Åse Kleveland,Intet er nytt under solen,3,18,88.24%,3,18,88.24%,,,
147,1966,7,35.29%,1966,,,,🇫🇮 Finland,Ann Christine,Playboy,11,18,41.18%,11,18,41.18%,,,
148,1966,8,41.18%,1966,,,,🇵🇹 Portugal,Madalena Iglésias,Ele e ela,13,18,29.41%,13,18,29.41%,,,
149,1966,9,47.06%,1966,,,,🇦🇹 Austria,Udo Jürgens,"Merci, Chérie",1,18,100.00%,1,18,100.00%,,,
150,1966,10,52.94%,1966,,,,🇸🇪 Sweden,Lill Lindfors & Svante Thuresson,Nygammal vals,2,18,94.12%,2,18,94.12%,,,
151,1966,11,58.82%,1966,,,,🇪🇸 Spain,Raphael,Yo soy aquél,7.5,18,61.76%,7.5,18,61.76%,,,
152,1966,12,64.71%,1966,,,,🇨🇭 Switzerland,Madeleine Pascal,Ne vois-tu pas?,6,18,70.59%,6,18,70.59%,,,
153,1966,13,70.59%,1966,,,,🇲🇨 Monaco,Téréza,Bien plus fort,17.5,18,2.94%,17.5,18,2.94%,,,
154,1966,14,76.47%,1966,,,,🇮🇹 Italy,Domenico Modugno,"Dio, come ti amo",17.5,18,2.94%,17.5,18,2.94%,,,
155,1966,15,82.35%,1966,,,,🇫🇷 France,Dominique Walter,Chez nous,16,18,11.76%,16,18,11.76%,,,
156,1966,16,88.24%,1966,,,,🇳🇱 Netherlands,Milly Scott,Fernando en Philippo,15,18,17.65%,15,18,17.65%,,,
157,1966,17,94.12%,1966,,,,🇮🇪 Ireland,Dickie Rock,Come Back to Stay,4.5,18,79.41%,4.5,18,79.41%,,,
158,1966,18,100.00%,1966,,,,🇬🇧 United Kingdom,Kenneth McKellar,A Man Without Love,9,18,52.94%,9,18,52.94%,,,
159,1967,1,0.00%,1967,,,,🇳🇱 Netherlands,Thérèse Steinmetz,Ring-dinge-ding,15,17,12.50%,15,17,12.50%,,,
160,1967,2,6.25%,1967,,,,🇱🇺 Luxembourg,Vicky Leandros,L'amour est bleu,4,17,81.25%,4,17,81.25%,,,
161,1967,3,12.50%,1967,,,,🇦🇹 Austria,Peter Horton,Warum es hunderttausend Sterne gibt,15,17,12.50%,15,17,12.50%,,,
162,1967,4,18.75%,1967,,,,🇫🇷 France,Noëlle Cordier,Il doit faire beau là-bas,3,17,87.50%,3,17,87.50%,,,
163,1967,5,25.00%,1967,,,,🇵🇹 Portugal,Eduardo Nascimento,O vento mudou,12.5,17,28.13%,12.5,17,28.13%,,,
164,1967,6,31.25%,1967,,,,🇨🇭 Switzerland,Géraldine,Quel cœur vas-tu briser?,17,17,0.00%,17,17,0.00%,,,
165,1967,7,37.50%,1967,,,,🇸🇪 Sweden,Östen Warnerbring,Som en dröm,9,17,50.00%,9,17,50.00%,,,
166,1967,8,43.75%,1967,,,,🇫🇮 Finland,Fredi,Varjoon – suojaan,12.5,17,28.13%,12.5,17,28.13%,,,
167,1967,9,50.00%,1967,,,,🇩🇪 Germany,Inge Brück,Anouschka,9,17,50.00%,9,17,50.00%,,,
168,1967,10,56.25%,1967,,,,🇧🇪 Belgium,Louis Neefs,Ik heb zorgen,7,17,62.50%,7,17,62.50%,,,
169,1967,11,62.50%,1967,,,,🇬🇧 United Kingdom,Sandie Shaw,Puppet on a String,1,17,100.00%,1,17,100.00%,,,
170,1967,12,68.75%,1967,,,,🇪🇸 Spain,Raphael,Hablemos del amor,6,17,68.75%,6,17,68.75%,,,
171,1967,13,75.00%,1967,,,,🇳🇴 Norway,Kirsti Sparboe,Dukkemann,15,17,12.50%,15,17,12.50%,,,
172,1967,14,81.25%,1967,,,,🇲🇨 Monaco,Minouche Barelli,Boum-Badaboum,5,17,75.00%,5,17,75.00%,,,
173,1967,15,87.50%,1967,,,,🏳 Yugoslavia,Lado Leskovar,Vse rože sveta,9,17,50.00%,9,17,50.00%,,,
174,1967,16,93.75%,1967,,,,🇮🇹 Italy,Claudio Villa,Non andare più lontano,11,17,37.50%,11,17,37.50%,,,
175,1967,17,100.00%,1967,,,,🇮🇪 Ireland,Sean Dunphy,If I Could Choose,2,17,93.75%,2,17,93.75%,,,
176,1968,1,0.00%,1968,,,,🇵🇹 Portugal,Carlos Mendes,Verão,11.5,17,34.38%,11.5,17,34.38%,,,
177,1968,2,6.25%,1968,,,,🇳🇱 Netherlands,Ronnie Tober,Morgen,16.5,17,3.13%,16.5,17,3.13%,,,
178,1968,3,12.50%,1968,,,,🇧🇪 Belgium,Claude Lombard,Quand tu reviendras,8,17,56.25%,8,17,56.25%,,,
179,1968,4,18.75%,1968,,,,🇦🇹 Austria,Karel Gott,Tausend Fenster,14,17,18.75%,14,17,18.75%,,,
180,1968,5,25.00%,1968,,,,🇱🇺 Luxembourg,Chris Baldo & Sophie Garel,Nous vivrons d'amour,11.5,17,34.38%,11.5,17,34.38%,,,
181,1968,6,31.25%,1968,,,,🇨🇭 Switzerland,Gianni Mascolo,Guardando il sole,14,17,18.75%,14,17,18.75%,,,
182,1968,7,37.50%,1968,,,,🇲🇨 Monaco,Line & Willy,À chacun sa chanson,8,17,56.25%,8,17,56.25%,,,
183,1968,8,43.75%,1968,,,,🇸🇪 Sweden,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",5,17,75.00%,5,17,75.00%,,,
184,1968,9,50.00%,1968,,,,🇫🇮 Finland,Kristina Hautala,Kun kello käy,16.5,17,3.13%,16.5,17,3.13%,,,
185,1968,10,56.25%,1968,,,,🇫🇷 France,Isabelle Aubret,La source,3,17,87.50%,3,17,87.50%,,,
186,1968,11,62.50%,1968,,,,🇮🇹 Italy,Sergio Endrigo,Marianne,10,17,43.75%,10,17,43.75%,,,
187,1968,12,68.75%,1968,,,,🇬🇧 United Kingdom,Cliff Richard,Congratulations,2,17,93.75%,2,17,93.75%,,,
188,1968,13,75.00%,1968,,,,🇳🇴 Norway,Odd Børre,Stress,14,17,18.75%,14,17,18.75%,,,
189,1968,14,81.25%,1968,,,,🇮🇪 Ireland,Pat McGuigan,Chance of a Lifetime,4,17,81.25%,4,17,81.25%,,,
190,1968,15,87.50%,1968,,,,🇪🇸 Spain,Massiel,"La, la, la",1,17,100.00%,1,17,100.00%,,,
191,1968,16,93.75%,1968,,,,🇩🇪 Germany,Wenche Myhre,Ein Hoch der Liebe,6,17,68.75%,6,17,68.75%,,,
192,1968,17,100.00%,1968,,,,🏳 Yugoslavia,Luci Capurso & Hamo Hajdarhodžić,Jedan dan,8,17,56.25%,8,17,56.25%,,,
193,1969,1,0.00%,1969,,,,🏳 Yugoslavia,Ivan & 4M,Pozdrav svijetu,13.5,16,16.67%,13.5,16,16.67%,,,
194,1969,2,6.67%,1969,,,,🇱🇺 Luxembourg,Romuald,Catherine,11,16,33.33%,11,16,33.33%,,,
195,1969,3,13.33%,1969,,,,🇪🇸 Spain,Salomé,Vivo cantando,1,16,100.00%,1,16,100.00%,,,
196,1969,4,20.00%,1969,,,,🇲🇨 Monaco,Jean Jacques,"Maman, Maman",6,16,66.67%,6,16,66.67%,,,
