to_country,juror,a,b,c,d,e,jury_rank,televoting_rank,from_country
Belgium,NA,20,19,13,10,22,17th,16th,Armenia
Czechia,NA,15,12,23,9,13,14th,22nd,Armenia
Estonia,NA,7,5,5,5,11,3 points 8th,12 points 1st,Armenia
Finland,NA,21,22,19,16,21,23rd,11th,Armenia
France,NA,4,9,9,3,6,7 points 4th,12th,Armenia
Germany,NA,16,23,12,12,18,18th,13th,Armenia
Greece,NA,11,14,6,6,8,2 points 9th,3 points 8th,Armenia
Iceland,NA,23,16,22,17,17,21st,23rd,Armenia
Italy,NA,2,2,3,1,2,10 points 2nd,14th,Armenia
Lithuania,NA,22,20,14,14,19,20th,2 points 9th,Armenia
Moldova,NA,14,15,8,8,9,1 point 10th,5 points 6th,Armenia
Netherlands,NA,6,7,7,7,4,4 points 7th,15th,Armenia
Norway,NA,10,13,16,18,7,11th,17th,Armenia
Poland,NA,18,11,20,23,15,19th,18th,Armenia
Portugal,NA,8,1,1,13,3,8 points 3rd,4 points 7th,Armenia
Romania,NA,9,21,10,19,12,12th,19th,Armenia
Serbia,NA,12,10,17,21,10,13th,6 points 5th,Armenia
Spain,NA,1,3,2,2,1,12 points 1st,8 points 3rd,Armenia
Sweden,NA,3,4,18,4,14,5 points 6th,7 points 4th,Armenia
Switzerland,NA,13,18,11,15,20,16th,20th,Armenia
Ukraine,NA,5,6,4,11,5,6 points 5th,10 points 2nd,Armenia
United Kingdom,NA,19,8,15,22,16,15th,1 point 10th,Armenia
Armenia,NA,12,22,22,21,18,21st,20th,Australia
Azerbaijan,NA,6,23,14,4,8,2 points 9th,23rd,Australia
Belgium,NA,5,14,13,3,13,5 points 6th,21st,Australia
Czechia,NA,11,5,17,10,4,4 points 7th,18th,Australia
Estonia,NA,17,15,8,8,5,1 point 10th,14th,Australia
Finland,NA,20,19,19,24,7,19th,15th,Australia
France,NA,24,18,20,23,21,24th,13th,Australia
Germany,NA,4,7,18,20,22,11th,22nd,Australia
Greece,NA,16,12,24,14,19,20th,11th,Australia
Iceland,NA,13,13,12,19,10,17th,19th,Australia
Italy,NA,3,24,10,5,24,3 points 8th,1 point 10th,Australia
Lithuania,NA,10,20,6,13,9,14th,2 points 9th,Australia
Moldova,NA,23,11,3,18,17,13th,4 points 7th,Australia
Netherlands,NA,22,21,23,12,23,23rd,12th,Australia
Norway,NA,15,17,9,22,11,18th,10 points 2nd,Australia
Poland,NA,18,16,21,16,20,22nd,3 points 8th,Australia
Portugal,NA,7,3,5,11,15,6 points 5th,16th,Australia
Romania,NA,21,6,16,17,12,16th,17th,Australia
Serbia,NA,8,10,2,7,3,8 points 3rd,8 points 3rd,Australia
Spain,NA,1,2,1,1,1,12 points 1st,6 points 5th,Australia
Sweden,NA,2,8,4,2,2,10 points 2nd,5 points 6th,Australia
Switzerland,NA,19,4,15,9,16,12th,24th,Australia
Ukraine,NA,9,1,7,6,14,7 points 4th,12 points 1st,Australia
United Kingdom,NA,14,9,11,15,6,15th,7 points 4th,Australia
Armenia,NA,8,3,7,3,8,6 points 5th,15th,Austria
Australia,NA,19,17,13,19,15,18th,20th,Austria
Azerbaijan,NA,10,10,25,21,23,16th,25th,Austria
Belgium,NA,16,14,23,25,13,20th,23rd,Austria
Czechia,NA,21,11,10,15,17,15th,21st,Austria
Estonia,NA,12,15,8,12,16,13th,17th,Austria
Finland,NA,20,23,19,16,21,22nd,13th,Austria
France,NA,24,22,24,17,25,24th,14th,Austria
Germany,NA,4,16,17,22,12,11th,2 points 9th,Austria
Greece,NA,6,7,6,6,9,4 points 7th,22nd,Austria
Iceland,NA,7,13,16,14,11,12th,24th,Austria
Italy,NA,9,4,12,18,3,3 points 8th,3 points 8th,Austria
Lithuania,NA,15,20,20,11,14,17th,18th,Austria
Moldova,NA,23,19,22,13,20,21st,7 points 4th,Austria
Netherlands,NA,2,5,3,5,5,8 points 3rd,12th,Austria
Norway,NA,5,12,4,8,6,5 points 6th,5 points 6th,Austria
Poland,NA,18,18,11,24,18,19th,4 points 7th,Austria
Portugal,NA,1,1,9,2,4,10 points 2nd,19th,Austria
Romania,NA,22,24,18,23,24,25th,11th,Austria
Serbia,NA,25,25,21,20,19,23rd,10 points 2nd,Austria
Spain,NA,13,8,5,10,10,2 points 9th,1 point 10th,Austria
Sweden,NA,14,6,2,4,1,7 points 4th,6 points 5th,Austria
Switzerland,NA,11,9,15,9,7,1 point 10th,16th,Austria
Ukraine,NA,17,21,14,7,22,14th,12 points 1st,Austria
United Kingdom,NA,3,2,1,1,2,12 points 1st,8 points 3rd,Austria
Armenia,NA,21,23,16,14,13,22nd,13th,Belgium
Australia,NA,8,10,8,10,5,1 point 10th,17th,Belgium
Azerbaijan,NA,15,9,19,12,1,3 points 8th,22nd,Belgium
Czechia,NA,12,2,22,20,6,2 points 9th,23rd,Belgium
Estonia,NA,18,11,17,18,7,16th,12th,Belgium
Finland,NA,7,18,15,9,23,14th,18th,Belgium
France,NA,9,20,13,19,21,19th,16th,Belgium
Germany,NA,10,22,18,15,18,21st,20th,Belgium
Greece,NA,16,15,12,5,10,13th,19th,Belgium
Iceland,NA,22,21,21,23,22,24th,24th,Belgium
Italy,NA,4,12,5,3,3,8 points 3rd,4 points 7th,Belgium
Lithuania,NA,23,3,11,22,11,11th,15th,Belgium
Moldova,NA,17,13,10,21,20,20th,8 points 3rd,Belgium
Netherlands,NA,14,14,20,6,19,15th,10 points 2nd,Belgium
Norway,NA,11,17,9,13,16,17th,14th,Belgium
Poland,NA,13,16,23,8,14,18th,7 points 4th,Belgium
Portugal,NA,5,7,3,17,17,5 points 6th,1 point 10th,Belgium
Romania,NA,20,24,24,24,12,23rd,11th,Belgium
Serbia,NA,24,4,2,16,24,4 points 7th,2 points 9th,Belgium
Spain,NA,3,8,4,1,4,10 points 2nd,6 points 5th,Belgium
Sweden,NA,6,6,7,4,8,7 points 4th,5 points 6th,Belgium
Switzerland,NA,19,5,14,11,9,12th,21st,Belgium
Ukraine,NA,2,19,6,7,15,6 points 5th,12 points 1st,Belgium
United Kingdom,NA,1,1,1,2,2,12 points 1st,3 points 8th,Belgium
Armenia,NA,3,18,7,8,4,5 points 6th,5 points 6th,Bulgaria
Australia,NA,18,6,11,21,11,12th,18th,Bulgaria
Azerbaijan,NA,4,7,6,14,12,3 points 8th,23rd,Bulgaria
Belgium,NA,7,4,9,10,3,6 points 5th,20th,Bulgaria
Czechia,NA,6,10,21,12,20,13th,24th,Bulgaria
Estonia,NA,14,23,15,16,14,18th,11th,Bulgaria
Finland,NA,19,16,5,23,18,15th,14th,Bulgaria
France,NA,20,19,22,24,16,24th,17th,Bulgaria
Germany,NA,21,22,12,13,8,16th,21st,Bulgaria
Greece,NA,1,8,2,1,1,12 points 1st,6 points 5th,Bulgaria
Iceland,NA,22,24,25,25,23,25th,22nd,Bulgaria
Italy,NA,10,20,19,4,9,1 point 10th,2 points 9th,Bulgaria
Lithuania,NA,11,14,18,22,13,17th,15th,Bulgaria
Moldova,NA,23,21,16,19,10,19th,7 points 4th,Bulgaria
Netherlands,NA,24,12,8,9,17,14th,19th,Bulgaria
Norway,NA,9,5,17,7,15,2 points 9th,1 point 10th,Bulgaria
Poland,NA,17,17,24,15,22,22nd,16th,Bulgaria
Portugal,NA,5,9,4,11,7,4 points 7th,13th,Bulgaria
Romania,NA,15,13,20,20,19,21st,4 points 7th,Bulgaria
Serbia,NA,16,15,14,18,25,20th,10 points 2nd,Bulgaria
Spain,NA,2,1,23,3,6,8 points 3rd,8 points 3rd,Bulgaria
Sweden,NA,12,11,10,6,21,11th,12th,Bulgaria
Switzerland,NA,8,3,1,5,5,7 points 4th,25th,Bulgaria
Ukraine,NA,25,25,13,17,24,23rd,12 points 1st,Bulgaria
United Kingdom,NA,13,2,3,2,2,10 points 2nd,3 points 8th,Bulgaria
Armenia,NA,16,8,16,22,19,17th,19th,Croatia
Australia,NA,13,18,22,13,17,20th,22nd,Croatia
Azerbaijan,NA,10,25,19,17,8,13th,25th,Croatia
Belgium,NA,18,24,17,20,23,23rd,18th,Croatia
Czechia,NA,17,14,12,19,9,15th,20th,Croatia
Estonia,NA,21,20,21,18,10,21st,2 points 9th,Croatia
Finland,NA,24,21,24,24,21,25th,16th,Croatia
France,NA,25,15,23,14,15,22nd,1 point 10th,Croatia
Germany,NA,19,3,20,21,20,12th,17th,Croatia
Greece,NA,6,12,5,10,7,3 points 8th,21st,Croatia
Iceland,NA,14,13,18,15,14,18th,24th,Croatia
Italy,NA,3,16,11,7,4,4 points 7th,6 points 5th,Croatia
Lithuania,NA,8,10,4,4,3,7 points 4th,3 points 8th,Croatia
Moldova,NA,22,23,25,25,16,24th,8 points 3rd,Croatia
Netherlands,NA,5,6,7,8,24,2 points 9th,11th,Croatia
Norway,NA,20,9,13,6,13,11th,5 points 6th,Croatia
Poland,NA,15,19,15,9,12,14th,13th,Croatia
Portugal,NA,1,11,2,2,2,10 points 2nd,12th,Croatia
Romania,NA,23,22,8,23,11,16th,15th,Croatia
Serbia,NA,2,1,3,1,1,12 points 1st,12 points 1st,Croatia
Spain,NA,11,2,6,5,6,6 points 5th,7 points 4th,Croatia
Sweden,NA,7,4,1,11,22,5 points 6th,4 points 7th,Croatia
Switzerland,NA,9,7,10,12,25,1 point 10th,23rd,Croatia
Ukraine,NA,4,5,9,3,5,8 points 3rd,10 points 2nd,Croatia
United Kingdom,NA,12,17,14,16,18,19th,14th,Croatia
Armenia,NA,14,18,17,23,17,22nd,1 point 10th,Cyprus
Australia,NA,3,3,2,11,3,8 points 3rd,16th,Cyprus
Azerbaijan,NA,4,1,11,2,4,10 points 2nd,22nd,Cyprus
Belgium,NA,6,8,10,13,10,2 points 9th,19th,Cyprus
Czechia,NA,19,20,6,9,11,13th,24th,Cyprus
Estonia,NA,10,17,20,12,8,16th,17th,Cyprus
Finland,NA,17,15,7,21,7,14th,14th,Cyprus
France,NA,23,22,12,4,19,15th,20th,Cyprus
Germany,NA,21,14,9,24,14,18th,15th,Cyprus
Greece,NA,2,4,5,3,1,12 points 1st,10 points 2nd,Cyprus
Iceland,NA,25,25,25,25,15,24th,25th,Cyprus
Italy,NA,16,10,22,5,9,1 point 10th,5 points 6th,Cyprus
Lithuania,NA,20,13,24,17,23,23rd,2 points 9th,Cyprus
Moldova,NA,15,11,15,18,24,19th,11th,Cyprus
Netherlands,NA,22,21,23,10,13,20th,18th,Cyprus
Norway,NA,9,9,16,6,18,11th,13th,Cyprus
Poland,NA,7,16,19,19,5,12th,3 points 8th,Cyprus
Portugal,NA,24,23,21,22,21,25th,21st,Cyprus
Romania,NA,18,12,14,16,25,21st,4 points 7th,Cyprus
Serbia,NA,1,19,4,15,22,4 points 7th,7 points 4th,Cyprus
Spain,NA,12,2,8,1,16,6 points 5th,8 points 3rd,Cyprus
Sweden,NA,11,7,3,7,6,5 points 6th,12th,Cyprus
Switzerland,NA,13,6,18,20,20,17th,23rd,Cyprus
Ukraine,NA,5,24,1,14,2,7 points 4th,12 points 1st,Cyprus
United Kingdom,NA,8,5,13,8,12,3 points 8th,6 points 5th,Cyprus
Armenia,NA,9,12,15,15,15,15th,11th,Czechia
Australia,NA,14,14,13,6,6,1 point 10th,16th,Czechia
Azerbaijan,NA,18,16,14,5,14,12th,18th,Czechia
Belgium,NA,10,15,10,20,8,13th,22nd,Czechia
Estonia,NA,6,9,3,4,5,8 points 3rd,4 points 7th,Czechia
Finland,NA,19,17,23,10,21,18th,1 point 10th,Czechia
France,NA,22,19,22,23,23,23rd,14th,Czechia
Germany,NA,12,20,12,13,18,16th,17th,Czechia
Greece,NA,7,5,9,7,11,3 points 8th,19th,Czechia
Iceland,NA,17,22,18,22,17,20th,23rd,Czechia
Italy,NA,15,10,11,18,12,14th,15th,Czechia
Lithuania,NA,21,24,19,19,19,21st,13th,Czechia
Moldova,NA,24,23,24,24,24,24th,8 points 3rd,Czechia
Netherlands,NA,13,11,8,14,10,11th,12th,Czechia
Norway,NA,11,3,20,9,16,2 points 9th,3 points 8th,Czechia
Poland,NA,16,13,17,17,13,17th,7 points 4th,Czechia
Portugal,NA,3,6,6,16,4,5 points 6th,20th,Czechia
Romania,NA,23,21,21,21,20,22nd,21st,Czechia
Serbia,NA,20,18,16,11,22,19th,10 points 2nd,Czechia
Spain,NA,5,7,5,3,7,7 points 4th,6 points 5th,Czechia
Sweden,NA,2,2,2,1,1,10 points 2nd,5 points 6th,Czechia
Switzerland,NA,8,4,4,12,3,6 points 5th,24th,Czechia
Ukraine,NA,4,8,7,8,9,4 points 7th,12 points 1st,Czechia
United Kingdom,NA,1,1,1,2,2,12 points 1st,2 points 9th,Czechia
Armenia,NA,6,15,14,20,17,14th,19th,Denmark
Australia,NA,25,10,19,11,23,19th,17th,Denmark
Azerbaijan,NA,24,16,7,15,14,15th,25th,Denmark
Belgium,NA,17,23,17,18,7,16th,23rd,Denmark
Czechia,NA,9,13,20,22,15,18th,24th,Denmark
Estonia,NA,14,18,23,12,10,17th,3 points 8th,Denmark
Finland,NA,23,19,21,17,18,24th,13th,Denmark
France,NA,18,22,24,16,20,25th,22nd,Denmark
Germany,NA,20,25,15,23,13,23rd,20th,Denmark
Greece,NA,2,3,3,6,4,12 points 1st,21st,Denmark
Iceland,NA,7,11,11,19,6,1 point 10th,2 points 9th,Denmark
Italy,NA,22,17,5,5,19,11th,18th,Denmark
Lithuania,NA,5,4,9,8,22,3 points 8th,7 points 4th,Denmark
Moldova,NA,4,20,25,25,25,13th,5 points 6th,Denmark
Netherlands,NA,3,5,2,7,2,10 points 2nd,12th,Denmark
Norway,NA,19,8,13,13,8,12th,8 points 3rd,Denmark
Poland,NA,16,24,16,14,12,22nd,4 points 7th,Denmark
Portugal,NA,12,7,1,4,1,8 points 3rd,14th,Denmark
Romania,NA,10,14,18,24,16,20th,15th,Denmark
Serbia,NA,15,9,22,21,24,21st,11th,Denmark
Spain,NA,21,2,12,3,21,4 points 7th,1 point 10th,Denmark
Sweden,NA,1,12,6,1,11,7 points 4th,10 points 2nd,Denmark
Switzerland,NA,8,21,8,9,3,2 points 9th,16th,Denmark
Ukraine,NA,13,1,10,10,5,5 points 6th,12 points 1st,Denmark
United Kingdom,NA,11,6,4,2,9,6 points 5th,6 points 5th,Denmark
Armenia,NA,13,17,16,8,8,13th,14th,Estonia
Australia,NA,5,3,3,3,3,8 points 3rd,22nd,Estonia
Azerbaijan,NA,3,4,20,18,18,3 points 8th,24th,Estonia
Belgium,NA,14,11,13,17,21,17th,19th,Estonia
Czechia,NA,17,18,15,14,17,21st,20th,Estonia
Finland,NA,10,10,6,10,2,5 points 6th,8 points 3rd,Estonia
France,NA,6,13,19,21,13,15th,21st,Estonia
Germany,NA,19,23,14,19,11,19th,2 points 9th,Estonia
Greece,NA,4,6,12,7,6,6 points 5th,23rd,Estonia
Iceland,NA,22,22,9,11,20,16th,16th,Estonia
Italy,NA,2,2,1,5,4,10 points 2nd,15th,Estonia
Lithuania,NA,18,7,10,4,19,2 points 9th,7 points 4th,Estonia
Moldova,NA,23,21,23,20,22,23rd,6 points 5th,Estonia
Netherlands,NA,12,5,17,6,14,1 point 10th,3 points 8th,Estonia
Norway,NA,21,24,22,12,12,20th,4 points 7th,Estonia
Poland,NA,20,19,18,23,9,18th,13th,Estonia
Portugal,NA,11,15,4,2,7,7 points 4th,11th,Estonia
Romania,NA,16,14,21,24,16,22nd,18th,Estonia
Serbia,NA,24,20,24,22,23,24th,12th,Estonia
Spain,NA,7,16,7,16,10,11th,1 point 10th,Estonia
Sweden,NA,1,1,2,1,1,12 points 1st,10 points 2nd,Estonia
Switzerland,NA,15,9,5,13,24,12th,17th,Estonia
Ukraine,NA,8,12,11,15,15,14th,12 points 1st,Estonia
United Kingdom,NA,9,8,8,9,5,4 points 7th,5 points 6th,Estonia
Armenia,NA,5,13,7,12,12,1 point 10th,24th,Finland
Australia,NA,7,4,6,3,3,8 points 3rd,11th,Finland
Azerbaijan,NA,2,11,13,8,9,3 points 8th,22nd,Finland
Belgium,NA,23,18,23,18,6,17th,18th,Finland
Czechia,NA,13,5,9,13,19,12th,15th,Finland
Estonia,NA,15,16,10,16,18,18th,10 points 2nd,Finland
France,NA,12,20,24,23,16,19th,1 point 10th,Finland
Germany,NA,24,24,21,19,22,24th,20th,Finland
Greece,NA,14,17,4,2,4,6 points 5th,23rd,Finland
Iceland,NA,19,19,18,24,20,22nd,19th,Finland
Italy,NA,6,8,20,9,7,2 points 9th,16th,Finland
Lithuania,NA,22,21,19,20,15,21st,2 points 9th,Finland
Moldova,NA,16,12,22,22,24,20th,5 points 6th,Finland
Netherlands,NA,3,9,8,6,5,5 points 6th,12th,Finland
Norway,NA,9,2,3,15,17,4 points 7th,6 points 5th,Finland
Poland,NA,8,15,14,14,13,15th,13th,Finland
Portugal,NA,17,14,15,11,11,16th,17th,Finland
Romania,NA,20,23,16,21,23,23rd,14th,Finland
Serbia,NA,1,1,17,7,8,7 points 4th,7 points 4th,Finland
Spain,NA,11,10,11,5,21,11th,3 points 8th,Finland
Sweden,NA,4,3,1,1,1,12 points 1st,8 points 3rd,Finland
Switzerland,NA,21,22,5,17,14,14th,21st,Finland
Ukraine,NA,18,6,12,10,10,13th,12 points 1st,Finland
United Kingdom,NA,10,7,2,4,2,10 points 2nd,4 points 7th,Finland
Armenia,NA,3,7,6,7,4,7 points 4th,5 points 6th,France
Australia,NA,23,19,8,11,16,15th,18th,France
Azerbaijan,NA,22,21,23,22,24,24th,23rd,France
Belgium,NA,5,3,7,6,9,6 points 5th,16th,France
Czechia,NA,10,4,10,14,11,2 points 9th,22nd,France
Estonia,NA,19,20,18,9,14,17th,13th,France
Finland,NA,14,10,22,15,23,18th,17th,France
Germany,NA,18,16,13,20,21,21st,20th,France
Greece,NA,6,12,5,21,7,3 points 8th,21st,France
Iceland,NA,9,5,21,8,18,12th,19th,France
Italy,NA,17,18,19,10,20,19th,3 points 8th,France
Lithuania,NA,16,13,15,16,19,20th,12th,France
Moldova,NA,21,23,20,23,12,22nd,10 points 2nd,France
Netherlands,NA,4,8,9,19,6,4 points 7th,14th,France
Norway,NA,13,9,17,18,8,14th,15th,France
Poland,NA,8,6,12,1,1,8 points 3rd,4 points 7th,France
Portugal,NA,7,17,14,5,10,1 point 10th,6 points 5th,France
Romania,NA,20,22,24,17,22,23rd,1 point 10th,France
Serbia,NA,24,24,3,24,13,13th,8 points 3rd,France
Spain,NA,15,15,11,4,3,5 points 6th,7 points 4th,France
Sweden,NA,11,11,4,13,15,11th,11th,France
Switzerland,NA,12,14,16,12,17,16th,24th,France
Ukraine,NA,1,1,2,2,5,10 points 2nd,12 points 1st,France
United Kingdom,NA,2,2,1,3,2,12 points 1st,2 points 9th,France
Armenia,NA,18,9,15,16,19,20th,14th,Germany
Australia,NA,12,20,1,10,12,5 points 6th,20th,Germany
Azerbaijan,NA,8,8,2,8,20,6 points 5th,23rd,Germany
Belgium,NA,13,13,5,18,6,11th,21st,Germany
Czechia,NA,22,16,12,20,22,23rd,22nd,Germany
Estonia,NA,6,7,14,12,11,12th,15th,Germany
Finland,NA,19,21,10,22,18,21st,12th,Germany
France,NA,20,24,9,24,24,22nd,18th,Germany
Greece,NA,11,10,19,15,14,17th,19th,Germany
Iceland,NA,24,22,21,23,13,24th,24th,Germany
Italy,NA,21,12,16,21,9,18th,3 points 8th,Germany
Lithuania,NA,16,17,22,19,8,19th,13th,Germany
Moldova,NA,15,23,7,7,23,15th,10 points 2nd,Germany
Netherlands,NA,3,11,18,14,5,4 points 7th,4 points 7th,Germany
Norway,NA,7,5,20,6,15,3 points 8th,1 point 10th,Germany
Poland,NA,10,14,23,17,4,14th,8 points 3rd,Germany
Portugal,NA,14,15,17,13,7,16th,11th,Germany
Romania,NA,23,6,4,11,17,1 point 10th,17th,Germany
Serbia,NA,4,18,24,9,10,13th,7 points 4th,Germany
Spain,NA,9,3,8,1,2,8 points 3rd,2 points 9th,Germany
Sweden,NA,2,1,11,4,16,7 points 4th,5 points 6th,Germany
Switzerland,NA,17,19,3,5,21,2 points 9th,16th,Germany
Ukraine,NA,5,2,13,2,1,10 points 2nd,12 points 1st,Germany
United Kingdom,NA,1,4,6,3,3,12 points 1st,6 points 5th,Germany
Armenia,NA,18,19,23,14,14,23rd,15th,Greece
Australia,NA,2,3,3,7,4,8 points 3rd,13th,Greece
Azerbaijan,NA,1,1,1,1,2,12 points 1st,22nd,Greece
Belgium,NA,5,20,8,12,24,12th,18th,Greece
Czechia,NA,15,5,9,8,12,2 points 9th,21st,Greece
Estonia,NA,13,22,22,20,6,15th,17th,Greece
Finland,NA,23,17,21,24,23,24th,11th,Greece
France,NA,11,15,6,23,21,13th,1 point 10th,Greece
Germany,NA,16,13,24,22,10,21st,19th,Greece
Iceland,NA,12,23,11,9,15,14th,24th,Greece
Italy,NA,19,21,5,5,19,1 point 10th,7 points 4th,Greece
Lithuania,NA,20,12,12,17,18,22nd,16th,Greece
Moldova,NA,8,16,4,3,9,6 points 5th,3 points 8th,Greece
Netherlands,NA,7,6,16,6,16,4 points 7th,12th,Greece
Norway,NA,22,10,15,11,17,19th,6 points 5th,Greece
Poland,NA,3,2,2,2,3,10 points 2nd,14th,Greece
