to_country,juror,a,b,c,d,e,jury_rank,televoting_rank,from_country
Switzerland,NA,18,17,22,19,21,,2 points 9th,Armenia
Ukraine,NA,15,4,13,14,4,3 points,1 point 10th,Armenia
United Kingdom,NA,17,23,8,8,14,,12th,Armenia
Albania,NA,15,10,13,13,18,,25th,Australia
Armenia,NA,14,17,10,22,15,,23rd,Australia
Austria,NA,7,3,4,7,6,6 points,7 points 4th,Australia
Belgium,NA,1,1,1,3,2,12 points,3 points 8th,Australia
Croatia,NA,9,12,24,10,16,,4 points 7th,Australia
Cyprus,NA,19,9,11,6,4,3 points,8 points 3rd,Australia
Czechia,NA,13,20,17,19,22,,12th,Australia
Estonia,NA,2,13,2,1,8,8 points,20th,Australia
Finland,NA,5,5,6,8,10,5 points,12 points 1st,Australia
France,NA,10,19,22,5,17,,2 points 9th,Australia
Germany,NA,12,8,25,23,24,,11th,Australia
Israel,NA,21,7,9,25,9,,5 points 6th,Australia
Italy,NA,6,11,15,9,20,1 point,13th,Australia
Lithuania,NA,3,2,8,2,3,10 points,15th,Australia
Moldova,NA,25,15,21,18,25,,17th,Australia
Norway,NA,23,23,12,20,14,,6 points 5th,Australia
Poland,NA,17,14,16,11,12,,24th,Australia
Portugal,NA,16,18,7,4,13,2 points,19th,Australia
Serbia,NA,24,25,23,17,23,,18th,Australia
Slovenia,NA,22,6,14,24,11,,1 point 10th,Australia
Spain,NA,4,24,5,16,7,4 points,21st,Australia
Sweden,NA,11,4,3,15,1,7 points,10 points 2nd,Australia
Switzerland,NA,20,16,18,12,19,,22nd,Australia
Ukraine,NA,18,22,20,21,5,,16th,Australia
United Kingdom,NA,8,21,19,14,21,,14th,Australia
Albania,NA,20,25,14,10,23,,3 points 8th,Austria
Armenia,NA,14,8,3,14,13,1 point,22nd,Austria
Australia,NA,13,5,18,11,21,,17th,Austria
Belgium,NA,18,3,20,12,5,3 points,11th,Austria
Croatia,NA,4,20,23,21,7,,10 points 2nd,Austria
Cyprus,NA,17,18,6,3,12,2 points,20th,Austria
Czechia,NA,1,2,19,22,19,5 points,12th,Austria
Estonia,NA,22,21,11,7,4,,19th,Austria
Finland,NA,2,4,1,19,22,8 points,12 points 1st,Austria
France,NA,24,22,13,20,11,,18th,Austria
Germany,NA,21,16,25,24,25,,6 points 5th,Austria
Israel,NA,15,14,7,9,16,,1 point 10th,Austria
Italy,NA,19,6,5,2,1,12 points,8 points 3rd,Austria
Lithuania,NA,12,7,8,1,3,7 points,21st,Austria
Moldova,NA,25,19,15,18,18,,16th,Austria
Norway,NA,10,13,22,23,20,,7 points 4th,Austria
Poland,NA,11,24,16,8,9,,13th,Austria
Portugal,NA,16,23,10,13,10,,23rd,Austria
Serbia,NA,3,10,24,16,24,,15th,Austria
Slovenia,NA,5,9,12,4,2,6 points,14th,Austria
Spain,NA,6,17,9,17,17,,24th,Austria
Sweden,NA,9,1,4,5,8,10 points,4 points 7th,Austria
Switzerland,NA,8,11,2,6,14,4 points,2 points 9th,Austria
Ukraine,NA,7,12,17,15,6,,5 points 6th,Austria
United Kingdom,NA,23,15,21,25,15,,25th,Austria
Albania,NA,3,15,2,1,11,8 points,20th,Azerbaijan
Armenia,NA,22,18,21,24,20,,25th,Azerbaijan
Australia,NA,23,1,8,22,7,5 points,23rd,Azerbaijan
Austria,NA,12,23,15,10,16,,19th,Azerbaijan
Belgium,NA,20,5,13,23,5,,24th,Azerbaijan
Croatia,NA,26,26,25,19,18,,15th,Azerbaijan
Cyprus,NA,6,8,18,7,21,,6 points 5th,Azerbaijan
Czechia,NA,21,21,17,20,9,,3 points 8th,Azerbaijan
Estonia,NA,11,3,11,13,19,1 point,12th,Azerbaijan
Finland,NA,9,11,14,26,3,3 points,8 points 3rd,Azerbaijan
France,NA,18,22,24,25,23,,14th,Azerbaijan
Germany,NA,25,2,12,21,14,,18th,Azerbaijan
Israel,NA,1,4,4,4,1,12 points,12 points 1st,Azerbaijan
Italy,NA,4,16,5,3,6,6 points,4 points 7th,Azerbaijan
Lithuania,NA,17,20,23,18,22,,22nd,Azerbaijan
Moldova,NA,19,12,16,16,12,,16th,Azerbaijan
Norway,NA,10,24,19,9,4,,2 points 9th,Azerbaijan
Poland,NA,16,25,26,17,25,,11th,Azerbaijan
Portugal,NA,13,10,10,11,26,,26th,Azerbaijan
Serbia,NA,7,19,9,15,8,,17th,Azerbaijan
Slovenia,NA,24,17,20,12,17,,5 points 6th,Azerbaijan
Spain,NA,5,6,1,5,10,7 points,13th,Azerbaijan
Sweden,NA,2,13,6,2,2,10 points,10 points 2nd,Azerbaijan
Switzerland,NA,14,9,3,14,13,4 points,1 point 10th,Azerbaijan
Ukraine,NA,8,14,7,6,15,2 points,7 points 4th,Azerbaijan
United Kingdom,NA,15,7,22,8,24,,21st,Azerbaijan
Albania,NA,20,15,9,15,16,,3 points 8th,Belgium
Armenia,NA,19,7,13,13,24,,6 points 5th,Belgium
Australia,NA,2,19,5,6,9,4 points,19th,Belgium
Austria,NA,1,2,7,11,5,12 points,12th,Belgium
Croatia,NA,24,23,23,17,25,,16th,Belgium
Cyprus,NA,21,12,21,23,11,,13th,Belgium
Czechia,NA,3,4,14,9,7,3 points,18th,Belgium
Estonia,NA,6,9,11,10,20,,17th,Belgium
Finland,NA,14,24,6,2,3,5 points,12 points 1st,Belgium
France,NA,12,5,8,24,4,1 point,2 points 9th,Belgium
Germany,NA,22,18,20,20,22,,23rd,Belgium
Israel,NA,8,3,3,1,18,10 points,5 points 6th,Belgium
Italy,NA,7,6,10,3,1,7 points,7 points 4th,Belgium
Lithuania,NA,9,11,15,22,14,,20th,Belgium
Moldova,NA,11,21,22,21,19,,11th,Belgium
Norway,NA,25,16,12,8,17,,8 points 3rd,Belgium
Poland,NA,10,10,1,14,21,2 points,4 points 7th,Belgium
Portugal,NA,13,14,17,18,6,,15th,Belgium
Serbia,NA,23,22,19,19,12,,24th,Belgium
Slovenia,NA,5,20,25,5,8,,21st,Belgium
Spain,NA,4,13,2,4,10,6 points,22nd,Belgium
Sweden,NA,15,1,4,12,2,8 points,10 points 2nd,Belgium
Switzerland,NA,17,8,18,7,23,,14th,Belgium
Ukraine,NA,18,25,24,25,13,,1 point 10th,Belgium
United Kingdom,NA,16,17,16,16,15,,25th,Belgium
Albania,NA,18,10,15,22,7,,6 points 5th,Croatia
Armenia,NA,25,21,12,15,15,,22nd,Croatia
Australia,NA,20,24,23,5,24,,18th,Croatia
Austria,NA,14,13,10,10,14,,15th,Croatia
Belgium,NA,10,20,17,25,22,,23rd,Croatia
Cyprus,NA,15,22,20,3,13,,20th,Croatia
Czechia,NA,24,9,9,11,12,,3 points 8th,Croatia
Estonia,NA,9,18,13,1,19,3 points,25th,Croatia
Finland,NA,16,6,4,12,1,7 points,10 points 2nd,Croatia
France,NA,17,7,8,14,16,,12th,Croatia
Germany,NA,11,25,25,23,23,,17th,Croatia
Israel,NA,5,1,5,9,6,8 points,4 points 7th,Croatia
Italy,NA,1,2,2,7,4,12 points,8 points 3rd,Croatia
Lithuania,NA,12,17,21,21,18,,24th,Croatia
Moldova,NA,4,16,14,6,9,2 points,1 point 10th,Croatia
Norway,NA,19,11,7,16,10,,5 points 6th,Croatia
Poland,NA,23,23,24,24,25,,14th,Croatia
Portugal,NA,3,14,19,18,11,1 point,11th,Croatia
Serbia,NA,8,4,6,17,5,4 points,7 points 4th,Croatia
Slovenia,NA,6,5,11,20,2,5 points,12 points 1st,Croatia
Spain,NA,2,15,3,13,8,6 points,19th,Croatia
Sweden,NA,7,3,1,2,3,10 points,2 points 9th,Croatia
Switzerland,NA,21,12,18,8,20,,16th,Croatia
Ukraine,NA,22,19,22,4,21,,13th,Croatia
United Kingdom,NA,13,8,16,19,17,,21st,Croatia
Albania,NA,23,18,24,11,11,,25th,Cyprus
Armenia,NA,14,10,11,1,6,4 points,4 points 7th,Cyprus
Australia,NA,3,1,14,7,2,8 points,22nd,Cyprus
Austria,NA,2,3,8,2,4,10 points,19th,Cyprus
Belgium,NA,11,13,19,12,21,,21st,Cyprus
Croatia,NA,21,25,13,24,19,,14th,Cyprus
Czechia,NA,6,6,7,14,15,1 point,16th,Cyprus
Estonia,NA,13,15,22,4,10,,17th,Cyprus
Finland,NA,4,12,4,5,24,3 points,7 points 4th,Cyprus
France,NA,10,19,2,17,14,,3 points 8th,Cyprus
Germany,NA,25,22,18,21,18,,18th,Cyprus
Israel,NA,9,7,3,6,3,7 points,12 points 1st,Cyprus
Italy,NA,7,11,1,10,7,5 points,6 points 5th,Cyprus
Lithuania,NA,17,20,25,13,9,,11th,Cyprus
Moldova,NA,12,16,23,19,23,,1 point 10th,Cyprus
Norway,NA,15,21,6,16,5,,5 points 6th,Cyprus
Poland,NA,20,14,20,18,22,,2 points 9th,Cyprus
Portugal,NA,16,17,17,15,17,,24th,Cyprus
Serbia,NA,24,24,15,23,25,,20th,Cyprus
Slovenia,NA,22,23,16,20,20,,15th,Cyprus
Spain,NA,1,4,9,9,13,6 points,23rd,Cyprus
Sweden,NA,5,2,5,3,1,12 points,8 points 3rd,Cyprus
Switzerland,NA,8,5,12,8,8,2 points,12th,Cyprus
Ukraine,NA,19,9,10,22,16,,10 points 2nd,Cyprus
United Kingdom,NA,18,8,21,25,12,,13th,Cyprus
Albania,NA,4,19,21,14,11,,21st,Czechia
Armenia,NA,3,3,11,4,1,8 points,2 points 9th,Czechia
Australia,NA,2,5,5,21,3,7 points,22nd,Czechia
Austria,NA,14,15,24,12,4,,13th,Czechia
Belgium,NA,12,14,9,19,15,,20th,Czechia
Croatia,NA,9,23,18,8,19,,4 points 7th,Czechia
Cyprus,NA,10,11,6,13,25,,18th,Czechia
Estonia,NA,7,13,16,5,12,2 points,17th,Czechia
Finland,NA,24,25,3,3,6,5 points,10 points 2nd,Czechia
France,NA,20,16,25,23,22,,15th,Czechia
Germany,NA,15,24,12,25,2,1 point,12th,Czechia
Israel,NA,11,6,17,9,9,,8 points 3rd,Czechia
Italy,NA,22,4,4,7,21,4 points,1 point 10th,Czechia
Lithuania,NA,6,10,15,15,13,,19th,Czechia
Moldova,NA,19,18,20,24,24,,5 points 6th,Czechia
Norway,NA,21,17,13,20,17,,7 points 4th,Czechia
Poland,NA,25,21,8,10,20,,11th,Czechia
Portugal,NA,16,12,14,17,16,,24th,Czechia
Serbia,NA,17,20,19,22,23,,16th,Czechia
Slovenia,NA,13,7,7,2,8,6 points,3 points 8th,Czechia
Spain,NA,5,8,22,6,10,3 points,23rd,Czechia
Sweden,NA,1,2,2,11,5,10 points,6 points 5th,Czechia
Switzerland,NA,18,9,10,16,14,,14th,Czechia
Ukraine,NA,8,1,1,1,7,12 points,12 points 1st,Czechia
United Kingdom,NA,23,22,23,18,18,,25th,Czechia
Albania,NA,22,23,25,26,13,,16th,Denmark
Armenia,NA,11,18,11,9,14,,23rd,Denmark
Australia,NA,3,10,21,20,6,2 points,11th,Denmark
Austria,NA,6,7,6,7,19,7 points,19th,Denmark
Belgium,NA,14,14,14,15,1,3 points,6 points 5th,Denmark
Croatia,NA,26,26,22,18,26,,15th,Denmark
Cyprus,NA,7,4,7,13,12,5 points,2 points 9th,Denmark
Czechia,NA,16,17,18,14,4,,12th,Denmark
Estonia,NA,8,6,9,16,16,,21st,Denmark
Finland,NA,2,3,17,5,10,8 points,12 points 1st,Denmark
France,NA,17,20,15,2,5,6 points,13th,Denmark
Germany,NA,23,9,16,23,24,,20th,Denmark
Israel,NA,4,16,13,6,20,,17th,Denmark
Italy,NA,13,21,10,3,17,,3 points 8th,Denmark
Lithuania,NA,10,2,19,21,7,4 points,14th,Denmark
Moldova,NA,24,24,5,22,18,,1 point 10th,Denmark
Norway,NA,5,5,8,4,3,10 points,10 points 2nd,Denmark
Poland,NA,19,11,12,19,9,,5 points 6th,Denmark
Portugal,NA,20,22,23,24,22,,25th,Denmark
Serbia,NA,25,19,2,25,25,,22nd,Denmark
Slovenia,NA,21,13,24,17,8,,18th,Denmark
Spain,NA,18,25,20,8,15,,26th,Denmark
Sweden,NA,1,1,1,1,2,12 points,8 points 3rd,Denmark
Switzerland,NA,15,8,3,12,21,,4 points 7th,Denmark
Ukraine,NA,12,15,26,11,23,,7 points 4th,Denmark
United Kingdom,NA,9,12,4,10,11,1 point,24th,Denmark
Albania,NA,19,24,6,24,23,,25th,Estonia
Armenia,NA,10,8,4,7,6,3 points,19th,Estonia
Australia,NA,5,5,5,11,1,8 points,6 points 5th,Estonia
Austria,NA,14,11,19,15,11,,21st,Estonia
Belgium,NA,9,4,7,5,2,6 points,18th,Estonia
Croatia,NA,25,25,25,25,25,,14th,Estonia
Cyprus,NA,6,19,22,13,10,,11th,Estonia
Czechia,NA,16,22,9,18,16,,13th,Estonia
Finland,NA,4,1,10,1,17,10 points,12 points 1st,Estonia
France,NA,11,18,18,10,15,,12th,Estonia
Germany,NA,24,23,2,23,22,,17th,Estonia
Israel,NA,7,12,3,4,9,4 points,16th,Estonia
Italy,NA,1,6,11,6,12,5 points,2 points 9th,Estonia
Lithuania,NA,12,9,8,16,4,1 point,5 points 6th,Estonia
Moldova,NA,23,13,21,20,14,,15th,Estonia
Norway,NA,20,10,24,8,21,,7 points 4th,Estonia
Poland,NA,21,14,13,14,20,,3 points 8th,Estonia
Portugal,NA,17,21,14,21,19,,23rd,Estonia
Serbia,NA,13,7,23,22,24,,20th,Estonia
Slovenia,NA,22,15,20,19,5,,1 point 10th,Estonia
Spain,NA,8,17,1,9,18,2 points,24th,Estonia
Sweden,NA,3,2,12,2,3,12 points,10 points 2nd,Estonia
Switzerland,NA,18,20,16,17,7,,4 points 7th,Estonia
Ukraine,NA,2,3,15,3,8,7 points,8 points 3rd,Estonia
United Kingdom,NA,15,16,17,12,13,,22nd,Estonia
Albania,NA,23,15,21,8,23,,21st,Finland
Armenia,NA,16,21,20,22,6,,24th,Finland
Australia,NA,7,5,12,20,25,,8 points 3rd,Finland
Austria,NA,9,4,10,23,10,2 points,2 points 9th,Finland
Belgium,NA,18,12,19,3,5,5 points,14th,Finland
Croatia,NA,24,3,22,21,15,,4 points 7th,Finland
Cyprus,NA,3,22,11,15,14,1 point,18th,Finland
Czechia,NA,5,1,3,6,11,8 points,10 points 2nd,Finland
Estonia,NA,12,11,4,13,21,,6 points 5th,Finland
France,NA,14,9,5,7,4,7 points,11th,Finland
Germany,NA,17,20,15,9,24,,5 points 6th,Finland
Israel,NA,20,6,14,18,7,,15th,Finland
Italy,NA,13,14,6,12,3,6 points,17th,Finland
Lithuania,NA,6,18,17,5,17,,22nd,Finland
Moldova,NA,15,25,24,11,22,,3 points 8th,Finland
Norway,NA,10,17,7,10,9,,12 points 1st,Finland
Poland,NA,8,23,18,17,16,,19th,Finland
Portugal,NA,11,10,9,4,12,3 points,23rd,Finland
Serbia,NA,25,24,25,14,13,,12th,Finland
Slovenia,NA,22,19,23,16,18,,7 points 4th,Finland
Spain,NA,19,8,8,19,19,,20th,Finland
Sweden,NA,1,2,1,1,2,12 points,13th,Finland
Switzerland,NA,4,16,2,2,1,10 points,1 point 10th,Finland
Ukraine,NA,21,13,13,24,8,,16th,Finland
United Kingdom,NA,2,7,16,25,20,4 points,25th,Finland
Albania,NA,20,22,21,22,17,,11th,France
Armenia,NA,5,2,4,10,3,7 points,12 points 1st,France
Australia,NA,17,23,19,18,5,,23rd,France
Austria,NA,6,3,5,3,4,10 points,25th,France
Belgium,NA,21,13,8,11,9,,2 points 9th,France
Croatia,NA,23,17,14,24,22,,18th,France
Cyprus,NA,8,21,25,16,15,,20th,France
Czechia,NA,11,8,6,1,16,4 points,15th,France
Estonia,NA,12,7,20,21,10,,22nd,France
Finland,NA,9,1,7,2,6,8 points,6 points 5th,France
Germany,NA,25,25,17,25,21,,14th,France
Israel,NA,2,11,1,4,1,12 points,10 points 2nd,France
Italy,NA,7,14,3,15,11,2 points,7 points 4th,France
Lithuania,NA,15,9,12,20,24,,19th,France
Moldova,NA,13,24,13,23,20,,8 points 3rd,France
Norway,NA,22,15,11,12,7,,1 point 10th,France
Poland,NA,18,20,16,14,14,,13th,France
Portugal,NA,3,4,10,5,12,5 points,5 points 6th,France
Serbia,NA,19,19,24,17,19,,21st,France
Slovenia,NA,16,16,23,7,23,,17th,France
Spain,NA,10,6,22,8,18,,12th,France
Sweden,NA,1,5,2,9,13,6 points,3 points 8th,France
Switzerland,NA,4,12,9,6,8,3 points,16th,France
Ukraine,NA,14,18,18,19,2,1 point,4 points 7th,France
United Kingdom,NA,24,10,15,13,25,,24th,France
Albania,NA,23,25,21,12,26,,26th,Georgia
Armenia,NA,1,4,2,1,3,10 points,12 points 1st,Georgia
Australia,NA,6,6,9,23,11,2 points,17th,Georgia
Austria,NA,25,24,23,7,19,,14th,Georgia
Belgium,NA,2,2,1,2,1,12 points,21st,Georgia
Croatia,NA,14,15,26,26,6,,1 point 10th,Georgia
Cyprus,NA,8,5,6,10,10,3 points,18th,Georgia
Czechia,NA,18,13,14,24,15,,11th,Georgia
Estonia,NA,3,10,4,6,9,5 points,22nd,Georgia
Finland,NA,15,12,5,8,12,1 point,8 points 3rd,Georgia
France,NA,13,9,18,15,16,,12th,Georgia
Germany,NA,21,20,25,14,25,,16th,Georgia
Israel,NA,7,8,3,5,4,7 points,6 points 5th,Georgia
Italy,NA,9,1,8,3,5,8 points,5 points 6th,Georgia
Lithuania,NA,5,11,10,4,2,6 points,4 points 7th,Georgia
Moldova,NA,17,19,12,9,21,,3 points 8th,Georgia
Norway,NA,10,18,17,13,22,,2 points 9th,Georgia
Poland,NA,24,22,24,19,24,,19th,Georgia
Portugal,NA,26,23,22,21,20,,24th,Georgia
Serbia,NA,22,14,20,25,17,,20th,Georgia
Slovenia,NA,20,26,16,18,7,,13th,Georgia
Spain,NA,16,16,15,17,13,,15th,Georgia
Sweden,NA,4,3,7,16,14,4 points,7 points 4th,Georgia
Switzerland,NA,12,21,19,20,18,,25th,Georgia
Ukraine,NA,11,7,11,11,8,,10 points 2nd,Georgia
United Kingdom,NA,19,17,13,22,23,,23rd,Georgia
Albania,NA,9,9,19,21,23,,8 points 3rd,Germany
Armenia,NA,10,13,10,14,19,,22nd,Germany
Australia,NA,3,5,4,9,4,8 points,14th,Germany
Austria,NA,5,14,7,7,20,2 points,12th,Germany
Belgium,NA,16,20,16,15,17,,2 points 9th,Germany
Croatia,NA,18,25,21,22,24,,6 points 5th,Germany
Cyprus,NA,14,18,13,18,10,,17th,Germany
Czechia,NA,15,3,9,8,8,5 points,16th,Germany
Estonia,NA,2,2,3,3,2,10 points,21st,Germany
Finland,NA,11,21,6,24,15,,12 points 1st,Germany
France,NA,13,15,11,4,14,,18th,Germany
Israel,NA,20,12,12,6,12,,13th,Germany
Italy,NA,8,19,8,10,3,4 points,10 points 2nd,Germany
Lithuania,NA,4,8,14,17,9,1 point,15th,Germany
Moldova,NA,23,24,24,25,11,,11th,Germany
Norway,NA,19,11,2,13,5,6 points,5 points 6th,Germany
Poland,NA,22,23,17,19,25,,4 points 7th,Germany
Portugal,NA,6,17,18,16,7,,23rd,Germany
Serbia,NA,24,6,25,2,18,3 points,19th,Germany
Slovenia,NA,21,22,15,23,22,,20th,Germany
Spain,NA,12,4,5,12,6,7 points,24th,Germany
Sweden,NA,1,1,1,1,1,12 points,1 point 10th,Germany
Switzerland,NA,7,10,22,11,16,,3 points 8th,Germany
Ukraine,NA,25,7,23,5,21,,7 points 4th,Germany
United Kingdom,NA,17,16,20,20,13,,25th,Germany
Albania,NA,17,7,4,6,16,3 points,4 points 7th,Greece
Armenia,NA,12,6,11,15,18,,2 points 9th,Greece
Australia,NA,5,4,9,20,6,5 points,23rd,Greece
Austria,NA,23,3,2,5,3,7 points,15th,Greece
Belgium,NA,3,5,3,3,1,12 points,17th,Greece
Croatia,NA,25,25,26,23,26,,24th,Greece
Cyprus,NA,7,18,6,4,8,4 points,12 points 1st,Greece
Czechia,NA,8,17,15,11,19,,1 point 10th,Greece
Estonia,NA,22,9,7,13,13,,22nd,Greece
Finland,NA,15,26,25,26,7,,10 points 2nd,Greece
France,NA,11,21,19,17,9,,3 points 8th,Greece
Germany,NA,21,13,20,14,23,,16th,Greece
Israel,NA,24,1,5,1,5,8 points,7 points 4th,Greece
Italy,NA,13,14,17,18,17,,5 points 6th,Greece
Lithuania,NA,19,20,16,12,22,,26th,Greece
Moldova,NA,18,12,24,25,24,,12th,Greece
Norway,NA,20,8,18,21,15,,6 points 5th,Greece
Poland,NA,9,23,8,7,20,,11th,Greece
Portugal,NA,4,11,1,2,2,10 points,25th,Greece
Serbia,NA,2,22,22,8,12,1 point,19th,Greece
Slovenia,NA,10,24,23,24,14,,13th,Greece
Spain,NA,6,19,21,16,21,,21st,Greece
Sweden,NA,16,2,10,9,4,6 points,8 points 3rd,Greece
Switzerland,NA,1,15,13,10,25,2 points,20th,Greece
Ukraine,NA,14,16,12,19,10,,14th,Greece
United Kingdom,NA,26,10,14,22,11,,18th,Greece
Albania,NA,10,5,8,26,13,,5th,Iceland
Armenia,NA,8,18,13,12,20,,3rd,Iceland
Australia,NA,3,3,2,1,1,12 points,3 points 12th,Iceland
Austria,NA,9,1,5,9,3,8 points,13th,Iceland
Belgium,NA,6,6,6,5,4,5 points,6 points 14th,Iceland
Croatia,NA,24,7,21,16,7,,5 points 8th,Iceland
Cyprus,NA,5,24,17,20,10,,24th,Iceland
Czechia,NA,15,4,3,2,11,6 points,17th,Iceland
Estonia,NA,11,21,12,18,18,,25th,Iceland
Finland,NA,2,9,1,3,6,10 points,12 points 2nd,Iceland
France,NA,21,13,18,13,25,,4 points 10th,Iceland
Germany,NA,17,15,10,22,2,2 points,16th,Iceland
Israel,NA,18,26,15,21,26,,1st,Iceland
Italy,NA,7,23,7,14,22,,1 point 15th,Iceland
Lithuania,NA,20,8,22,15,12,,19th,Iceland
Moldova,NA,16,10,24,17,8,,11th,Iceland
Norway,NA,4,17,11,7,9,4 points,8 points 7th,Iceland
Poland,NA,26,16,23,24,24,,7 points 23rd,Iceland
Portugal,NA,14,12,20,23,19,,20th,Iceland
Serbia,NA,25,2,19,10,16,1 point,22nd,Iceland
Slovenia,NA,23,25,26,11,14,,18th,Iceland
Spain,NA,12,14,14,6,5,3 points,9th,Iceland
Sweden,NA,1,11,4,4,17,7 points,10 points 4th,Iceland
Switzerland,NA,13,20,16,19,15,,26th,Iceland
Ukraine,NA,19,19,9,8,23,,2 points 6th,Iceland
United Kingdom,NA,22,22,25,25,21,,21st,Iceland
Albania,NA,18,19,24,17,NA,,25th,Ireland
Armenia,NA,12,11,7,2,NA,6 points,26th,Ireland
Australia,NA,21,24,1,10,NA,4 points,16th,Ireland
Austria,NA,23,13,12,20,NA,,15th,Ireland
Belgium,NA,1,1,2,19,NA,10 points,3 points 8th,Ireland
Croatia,NA,26,26,26,24,NA,,2 points 9th,Ireland
Cyprus,NA,20,23,13,11,NA,,17th,Ireland
Czechia,NA,7,9,10,5,NA,3 points,18th,Ireland
Estonia,NA,13,16,3,14,NA,,20th,Ireland
Finland,NA,5,8,6,1,NA,8 points,12 points 1st,Ireland
France,NA,3,7,11,15,NA,5 points,14th,Ireland
Germany,NA,19,6,22,7,NA,,19th,Ireland
Israel,NA,6,5,5,8,NA,7 points,1 point 10th,Ireland
Italy,NA,8,18,15,12,NA,,12th,Ireland
Lithuania,NA,16,3,8,16,NA,1 point,10 points 2nd,Ireland
Moldova,NA,14,10,18,13,NA,,4 points 7th,Ireland
Norway,NA,10,17,9,25,NA,,5 points 6th,Ireland
Poland,NA,22,15,17,23,NA,,8 points 3rd,Ireland
Portugal,NA,11,14,21,26,NA,,22nd,Ireland
Serbia,NA,25,25,14,6,NA,,24th,Ireland
Slovenia,NA,15,21,23,9,NA,,21st,Ireland
Spain,NA,17,20,25,4,NA,,23rd,Ireland
Sweden,NA,2,2,4,3,NA,12 points,6 points 5th,Ireland
Switzerland,NA,24,12,16,18,NA,,13th,Ireland
Ukraine,NA,9,22,19,22,NA,,7 points 4th,Ireland
United Kingdom,NA,4,4,20,21,NA,2 points,11th,Ireland
Albania,NA,24,17,22,16,13,,24th,Israel
Armenia,NA,8,24,6,12,15,,3 points 8th,Israel
Australia,NA,17,14,18,17,20,,11th,Israel
Austria,NA,1,5,20,6,16,6 points,13th,Israel
Belgium,NA,5,13,7,8,6,3 points,21st,Israel
Croatia,NA,25,15,25,25,24,,6 points 5th,Israel
Cyprus,NA,11,7,21,5,7,1 point,12th,Israel
Czechia,NA,4,9,12,10,5,4 points,2 points 9th,Israel
Estonia,NA,13,10,13,4,3,5 points,20th,Israel
Finland,NA,18,2,2,22,4,8 points,12 points 1st,Israel
France,NA,21,22,23,15,18,,1 point 10th,Israel
Germany,NA,20,18,19,24,25,,17th,Israel
Italy,NA,12,11,11,13,9,,7 points 4th,Israel
Lithuania,NA,15,19,15,20,12,,25th,Israel
Moldova,NA,16,8,4,9,11,,5 points 6th,Israel
Norway,NA,7,3,3,1,2,10 points,10 points 2nd,Israel
